Date,Shopping Event?,Ad Spend,Page Views,Unit Price,Sold Units,Revenue,Operational Cost,Profit
2021-01-01,False,1490.490265381528,11861,999.0,2317,2314683.0,1659999.894355353,654683.105644647
2021-01-02,False,1455.9174625782161,11776,999.0,2355,2352645.0,1678959.080093096,673685.919906904
2021-01-03,False,1405.8247897430833,11861,999.0,2391,2388609.0,1696906.137024402,691702.8629755981
2021-01-04,False,1379.2993911273163,11677,999.0,2344,2341656.0,1673380.6353440138,668275.3646559862
2021-01-05,False,1234.1992678703598,11871,999.0,2412,2409588.0,1707252.6139868004,702335.3860131996
2021-01-06,False,1159.0742312826828,11757,999.0,2289,2286711.0,1645662.3900002348,641048.6099997652
2021-01-07,True,2785.152912023138,19233,912.4881880650531,5813,5304293.837222154,3409292.086000969,1895001.751221185
2021-01-08,False,1196.760681680594,11783,999.0,2350,2347650.0,1676199.365811293,671450.634188707
2021-01-09,False,1272.9125924725195,12024,999.0,2412,2409588.0,1707294.122216526,702293.877783474
2021-01-10,False,1308.7985094519931,11684,999.0,2280,2277720.0,1641317.121415526,636402.8785844741
2021-01-11,False,1409.2334216219488,11697,999.0,2353,2350647.0,1677923.6128316629,672723.3871683371
2021-01-12,False,1483.4963692226372,11775,999.0,2326,2323674.0,1664495.102550666,659178.8974493339
2021-01-13,False,1146.9281921539243,11520,999.0,2327,2324673.0,1664653.7631703438,660019.2368296562
2021-01-14,False,1142.8016560775166,11710,999.0,2387,2384613.0,1694642.8327602614,689970.1672397386
2021-01-15,False,1335.8778892054202,11759,999.0,2429,2426571.0,1715842.4218234145,710728.5781765855
2021-01-16,False,1398.1592295789171,11832,999.0,2527,2524473.0,1764902.658427361,759570.3415726391
2021-01-17,False,1439.260152138794,11655,999.0,2330,2327670.0,1666444.7247434529,661225.2752565471
2021-01-18,False,1474.3328320867154,11720,999.0,2251,2248749.0,1626981.8114488083,621767.1885511917
2021-01-19,False,1493.370496904257,11786,999.0,2297,2294703.0,1649996.1095128139,644706.8904871861
2021-01-20,False,1259.9206768898102,11603,999.0,2301,2298699.0,1651762.0183827095,646936.9816172905
2021-01-21,False,1252.1340734110292,11646,999.0,2327,2324673.0,1664754.5299240712,659918.4700759288
2021-01-22,False,1159.123470678909,11639,999.0,2282,2279718.0,1642173.325758806,637544.674241194
2021-01-23,False,1373.9737754734238,11861,999.0,2429,2426571.0,1715881.0212605912,710689.9787394088
2021-01-24,False,1362.704783376335,11701,999.0,2329,2326671.0,1665870.0584323294,660800.9415676706
2021-01-25,False,1444.825038340483,11991,999.0,2426,2423574.0,1714450.0443145118,709123.9556854882
2021-01-26,False,1138.9031979150564,11587,999.0,2256,2253744.0,1629154.8251481727,624589.1748518273
2021-01-27,True,2148.140860948165,20194,975.4071845051653,5266,5136494.2336042,3135162.4003654267,2001331.8332387735
2021-01-28,False,1332.4327718688253,11961,995.2411356969759,2983,2968804.307784079,1992837.3482955953,975966.9594884838
2021-01-29,False,1196.6228160159674,11788,999.0,2425,2422575.0,1713702.918930913,708872.0810690869
2021-01-30,False,1167.6101624516646,11725,999.0,2318,2315682.0,1660174.028026395,655507.971973605
2021-01-31,False,1443.8323345678486,11583,999.0,2323,2320677.0,1662946.2392060945,657730.7607939055
2021-02-01,False,1123.4139688942234,11449,999.0,2265,2262735.0,1633629.5981859828,629105.4018140172
2021-02-02,False,1288.248361567229,11868,999.0,2448,2445552.0,1725289.010992668,720262.9890073319
2021-02-03,False,1146.3336005203541,11584,999.0,2330,2327670.0,1666148.9485037127,661521.0514962873
2021-02-04,False,1282.8235045325468,11670,999.0,2300,2297700.0,1651291.3708171973,646408.6291828027
2021-02-05,False,1491.9849305369237,11818,999.0,2267,2264733.0,1635003.8638695406,629729.1361304594
2021-02-06,False,1269.482541382189,11845,999.0,2356,2353644.0,1679279.6428153082,674364.3571846918
2021-02-07,False,1442.8499670018268,11836,999.0,2429,2426571.0,1715945.918696612,710625.0813033881
2021-02-08,False,1146.9262256732775,11788,999.0,2363,2360637.0,1682652.6033019517,677984.3966980483
2021-02-09,False,1208.5008307047456,11633,999.0,2360,2357640.0,1681229.7932874202,676410.2067125798
2021-02-10,False,1261.5170962669338,11536,999.0,2187,2184813.0,1594763.4677654942,590049.5322345058
2021-02-11,False,1259.9248560037322,11816,999.0,2414,2411586.0,1708263.5348796612,703322.4651203388
2021-02-12,False,1368.5533914680614,11849,999.0,2394,2391606.0,1698370.0731434575,693235.9268565425
2021-02-13,False,1237.887250950203,11786,999.0,2308,2305692.0,1655240.1099782498,650451.8900217502
2021-02-14,False,1385.5067473640065,12062,999.0,2449,2446551.0,1725898.5544792265,720652.4455207735
2021-02-15,True,2407.241171413807,21467,817.6134280155665,6772,5536878.134521416,3888408.1735484214,1648469.960972995
2021-02-16,False,1259.6644581019093,11455,999.0,2307,2304693.0,1654761.0598374568,649931.9401625432
2021-02-17,False,1272.7040510617276,11688,999.0,2334,2331666.0,1668275.113418527,663390.886581473
2021-02-18,False,1345.8110799241283,11721,999.0,2348,2345652.0,1675356.1521337174,670295.8478662826
2021-02-19,False,1128.0168760578579,11642,999.0,2394,2391606.0,1698130.941472296,693475.0585277041
2021-02-20,False,1428.9626953422762,11814,999.0,2326,2323674.0,1664437.306189022,659236.693810978
2021-02-21,False,1361.3684644454547,11814,999.0,2337,2334663.0,1669862.4560498614,664800.5439501386
2021-02-22,False,1390.536985767134,11737,999.0,2352,2349648.0,1677407.6141233458,672240.3858766542
2021-02-23,False,1314.769200432956,11972,999.0,2428,2425572.0,1715317.7760615817,710254.2239384183
2021-02-24,False,1144.190844396698,11705,999.0,2221,2218779.0,1611650.3485607388,607128.6514392612
2021-02-25,False,1262.01424531878,11611,999.0,2315,2312685.0,1658764.795352707,653920.2046472931
2021-02-26,False,1262.1494331394224,11717,999.0,2308,2305692.0,1655264.9169012865,650427.0830987135
2021-02-27,False,1228.4171960172866,11764,999.0,2437,2434563.0,1719734.0256098548,714828.9743901452
2021-02-28,False,1111.9801299618998,11708,999.0,2354,2351646.0,1678124.1431705554,673521.8568294446
2021-03-01,False,1394.901697038591,11799,999.0,2287,2284713.0,1644895.9995133227,639817.0004866773
2021-03-02,False,1143.9137832250003,11642,999.0,2264,2261736.0,1633151.0983407507,628584.9016592493
2021-03-03,False,1342.523253218034,11656,999.0,2307,2304693.0,1654858.2851828537,649834.7148171463
2021-03-04,False,1381.2869985868863,11841,999.0,2223,2220777.0,1612885.7056935495,607891.2943064505
2021-03-05,False,1353.9145291734778,11870,999.0,2315,2312685.0,1658862.0831399565,653822.9168600435
2021-03-06,False,1483.6569007911899,11828,999.0,2308,2305692.0,1655491.1119467902,650200.8880532098
2021-03-07,False,1141.3192620340556,11520,999.0,2340,2337660.0,1671145.8595537725,666514.1404462275
2021-03-08,False,1446.8668636420796,12005,999.0,2344,2341656.0,1673460.8504955515,668195.1495044485
2021-03-09,False,1111.6760939395654,11675,999.0,2336,2333664.0,1669132.5721984995,664531.4278015005
2021-03-10,False,1313.9667419708335,11764,999.0,2309,2306691.0,1655826.1128195229,650864.8871804771
2021-03-11,False,1261.6974471757035,11610,999.0,2291,2288709.0,1646765.6250291632,641943.3749708368
2021-03-12,False,1309.6735441575033,11846,999.0,2416,2413584.0,1709311.2658395944,704272.7341604056
2021-03-13,False,1246.0399508240039,11802,999.0,2372,2369628.0,1687257.6193561181,682370.3806438819
2021-03-14,False,1176.2267659760273,11854,999.0,2395,2392605.0,1698681.3036973355,693923.6963026645
2021-03-15,False,1107.649158979476,11569,999.0,2323,2320677.0,1662609.053993624,658067.9460063761
2021-03-16,False,1307.2599255164696,11740,999.0,2316,2313684.0,1659313.603327924,654370.3966720761
2021-03-17,False,1437.1107450739369,11835,999.0,2307,2304693.0,1654947.8168056197,649745.1831943803
2021-03-18,False,1249.2863822979177,11658,999.0,2401,2398599.0,1701751.5154899901,696847.4845100099
2021-03-19,False,1189.145527205992,11529,999.0,2302,2299698.0,1652218.0707254258,647479.9292745742
2021-03-20,True,2373.8131379325614,17455,989.1786220741245,4750,4698598.454852091,2877377.2067975793,1821221.2480545118
2021-03-21,False,1134.1243692474814,11583,999.0,2376,2373624.0,1689137.244861201,684486.7551387991
2021-03-22,False,1188.5585785171088,11622,999.0,2395,2392605.0,1698698.3177884882,693906.6822115118
2021-03-23,False,1140.0056243686222,11691,999.0,2296,2293704.0,1649140.2469260297,644563.7530739703
2021-03-24,False,1206.0158793457929,11778,999.0,2378,2375622.0,1690217.2205208445,685404.7794791555
2021-03-25,False,1126.459784846782,11963,999.0,2409,2406591.0,1705637.7585571408,700953.2414428592
2021-03-26,False,1126.2419468839703,11663,999.0,2320,2317680.0,1661142.141176798,656537.8588232021
2021-03-27,False,1442.5104718491127,11776,999.0,2398,2395602.0,1700452.2977728562,695149.7022271438
2021-03-28,False,1164.8481042835333,11627,999.0,2284,2281716.0,1643174.1897405346,638541.8102594654
2021-03-29,False,1323.8729623293793,11664,999.0,2370,2367630.0,1686332.0200482714,681297.9799517286
2021-03-30,False,1409.3822177796123,11946,999.0,2434,2431566.0,1718411.8946422513,713154.1053577487
2021-03-31,False,1282.5638261356266,11740,999.0,2351,2348649.0,1676786.3921748525,671862.6078251475
2021-04-01,True,2959.433340833425,21790,914.938061949047,6293,5757705.223845352,3649459.436750413,2108245.7870949395
2021-04-02,False,1179.8384568480458,11863,999.0,2392,2389608.0,1697180.4605048546,692427.5394951454
2021-04-03,False,1273.1936825124722,11845,999.0,2314,2311686.0,1658276.3671713206,653409.6328286794
2021-04-04,False,1311.2936356714144,11462,999.0,2199,2196801.0,1600813.0729091326,595987.9270908674
2021-04-05,False,1239.776116819414,11786,999.0,2391,2388609.0,1696741.892319989,691867.1076800111
2021-04-06,False,1412.5918400938644,11692,999.0,2354,2351646.0,1678415.2666787244,673230.7333212756
2021-04-07,False,1400.4086595425592,11813,999.0,2334,2331666.0,1668416.9268298964,663249.0731701036
2021-04-08,False,1470.8847229492471,11675,999.0,2329,2326671.0,1665975.7505064374,660695.2494935626
2021-04-09,False,1111.581019610784,11638,999.0,2290,2287710.0,1646128.5537365947,641581.4462634053
2021-04-10,False,1458.2765164840814,11903,999.0,2332,2329668.0,1667469.001524957,662198.9984750431
2021-04-11,False,1257.0275153848604,11716,999.0,2353,2350647.0,1677766.4864876494,672880.5135123506
2021-04-12,False,1451.3489981519976,11651,999.0,2322,2319678.0,1662461.795078389,657216.2049216109
2021-04-13,False,1376.3139104626118,11766,999.0,2340,2337660.0,1671399.2101889886,666260.7898110114
2021-04-14,False,1494.9395028295874,11741,999.0,2357,2354643.0,1679997.3650654247,674645.6349345753
2021-04-15,False,1403.7129806866672,11784,999.0,2320,2317680.0,1661410.9232998996,656269.0767001004
2021-04-16,False,1245.8178503987147,11461,999.0,2319,2316681.0,1660768.8116543987,655912.1883456013
2021-04-17,True,2458.6039617685856,20806,833.4618649395306,6466,5389164.418699005,3735468.9069180447,1653695.51178096
2021-04-18,False,1250.5556620777404,11697,999.0,2316,2313684.0,1659266.0628680899,654417.9371319101
2021-04-19,False,1245.9647344084951,11718,999.0,2415,2412585.0,1708756.9169899635,703828.0830100365
2021-04-20,False,1204.3617997524238,11596,999.0,2327,2324673.0,1664706.718008332,659966.281991668
2021-04-21,False,1298.388118149388,11915,999.0,2319,2316681.0,1660802.307809176,655878.6921908241
2021-04-22,False,1372.6959780277446,11968,999.0,2389,2386611.0,1695878.3388493208,690732.6611506792
2021-04-23,False,1210.9361085220974,11564,999.0,2208,2205792.0,1605218.8311839863,600573.1688160137
2021-04-24,False,1309.751924430888,11834,999.0,2362,2359638.0,1682311.3136750036,677326.6863249964
2021-04-25,False,1146.9521176682229,11866,999.0,2343,2340657.0,1672660.0760590283,667996.9239409717
2021-04-26,False,1163.9381147416766,11773,999.0,2347,2344653.0,1674674.600838888,669978.399161112
2021-04-27,False,1118.7225418848755,11700,999.0,2412,2409588.0,1707122.5111451715,702465.4888548285
2021-04-28,False,1488.2925771082532,11728,999.0,2329,2326671.0,1666000.0787434042,660670.9212565958
2021-04-29,False,1101.5441406041045,11712,999.0,2330,2327670.0,1666109.1340988125,661560.8659011875
2021-04-30,False,1171.4319872230626,11772,999.0,2330,2327670.0,1666176.9617873477,661493.0382126523
2021-05-01,True,2590.984165323685,19557,909.282053830764,5846,5315662.886694646,3425596.3545108004,1890066.532183846
2021-05-02,False,1132.547839541322,11658,999.0,2307,2304693.0,1654635.416191623,650057.5838083769
2021-05-03,False,1452.7586012387328,11852,999.0,2457,2454543.0,1729969.1026576879,724573.8973423121
2021-05-04,False,1387.8480631369152,11857,999.0,2406,2403594.0,1704393.560329447,699200.439670553
2021-05-05,False,1486.5559885751572,11729,999.0,2382,2379618.0,1692494.4555291766,687123.5444708234
2021-05-06,False,1303.0542188963059,11629,999.0,2329,2326671.0,1665818.4817983005,660852.5182016995
2021-05-07,False,1220.1614732633948,11657,999.0,2404,2401596.0,1703227.8347950913,698368.1652049087
2021-05-08,False,1319.8002291181085,11733,999.0,2309,2306691.0,1655843.4964620513,650847.5035379487
2021-05-09,False,1472.3274869191891,11871,999.0,2435,2432565.0,1718974.9330853596,713590.0669146404
2021-05-10,False,1308.3045748967443,11523,999.0,2333,2330667.0,1667809.5941454028,662857.4058545972
2021-05-11,False,1206.8828127449274,11677,999.0,2339,2336661.0,1670718.9594770921,665942.0405229079
2021-05-12,False,1450.9595156696478,11869,999.0,2341,2338659.0,1671956.413951578,666702.5860484219
2021-05-13,False,1248.7674994049846,11985,999.0,2395,2392605.0,1698764.3003259064,693840.6996740936
2021-05-14,False,1100.5533399995998,11460,999.0,2238,2235762.0,1620101.6262533562,615660.3737466438
2021-05-15,False,1199.0740089969263,11790,999.0,2297,2294703.0,1649714.427444437,644988.572555563
2021-05-16,False,1227.293403670825,11471,999.0,2357,2354643.0,1679729.1429178414,674913.8570821586
2021-05-17,False,1443.510987292761,11790,999.0,2377,2374623.0,1689945.278814426,684677.7211855741
2021-05-18,False,1283.401266826578,11816,999.0,2392,2389608.0,1697305.3938072799,692302.6061927201
2021-05-19,False,1277.8349151245202,11427,999.0,2254,2251746.0,1628285.1278025967,623460.8721974033
2021-05-20,False,1234.440906559955,11669,999.0,2344,2341656.0,1673245.4464889606,668410.5535110394
2021-05-21,False,1452.2712492188318,11590,999.0,2316,2313684.0,1659455.6949296575,654228.3050703425
2021-05-22,True,2401.2595008036087,19355,838.9345667860393,6498,5451396.814975684,3751404.3625430567,1699992.4524326269
2021-05-23,False,1496.7561316618517,11780,999.0,2298,2295702.0,1650504.8864954417,645197.1135045583
2021-05-24,False,1250.6965067843946,11700,999.0,2322,2319678.0,1662258.0594776832,657419.9405223168
2021-05-25,False,1486.4589782508685,11769,999.0,2357,2354643.0,1679994.282221441,674648.7177785591
2021-05-26,False,1416.7518278523605,11798,999.0,2355,2352645.0,1678919.922809514,673725.077190486
2021-05-27,False,1370.2756590577067,11716,999.0,2311,2308689.0,1656876.3381725377,651812.6618274623
2021-05-28,False,1197.9557917680397,11641,999.0,2343,2340657.0,1672704.066370609,667952.933629391
2021-05-29,False,1186.582904377684,11876,999.0,2392,2389608.0,1697195.7859995302,692412.2140004698
2021-05-30,False,1166.4191298084984,11755,999.0,2344,2341656.0,1673181.5142189998,668474.4857810002
2021-05-31,False,1469.1026440901462,11865,999.0,2398,2395602.0,1700475.6672809327,695126.3327190673
2021-06-01,False,1217.6306649532664,11757,999.0,2305,2302695.0,1653718.2891767444,648976.7108232556
2021-06-02,False,1281.2376981795514,11615,999.0,2339,2336661.0,1670789.974004505,665871.025995495
2021-06-03,False,1297.5831335948894,11870,999.0,2349,2346651.0,1675808.1606725936,670842.8393274064
2021-06-04,False,1411.2686381801018,11742,999.0,2346,2343654.0,1674420.241008487,669233.7589915129
2021-06-05,False,1437.6939846212097,11868,999.0,2381,2378619.0,1691952.0160176125,686666.9839823875
2021-06-06,False,1155.629080459445,11658,999.0,2303,2300697.0,1652669.0333836393,648027.9666163607
2021-06-07,False,1270.7617440844294,11763,999.0,2360,2357640.0,1681274.1824924753,676365.8175075247
2021-06-08,False,1437.1419551341828,11752,999.0,2387,2384613.0,1694947.8482384386,689665.1517615614
2021-06-09,False,1427.2133223023354,11795,999.0,2379,2376621.0,1690944.6039726562,685676.3960273438
2021-06-10,False,1140.9655033809665,11729,999.0,2320,2317680.0,1661154.0315636154,656525.9684363846
2021-06-11,False,1162.5533395471853,11379,999.0,2269,2266731.0,1635667.0495074622,631063.9504925378
2021-06-12,False,1221.6794766397632,11737,999.0,2363,2360637.0,1682725.789981098,677911.2100189021
2021-06-13,False,1130.143627633336,11629,999.0,2287,2284713.0,1644637.6366231833,640075.3633768167
2021-06-14,False,1269.8652011362371,11633,999.0,2276,2273724.0,1639271.9765788275,634452.0234211725
2021-06-15,False,1143.0470820598327,11661,999.0,2335,2332665.0,1668645.6535934666,664019.3464065334
2021-06-16,False,1327.287037467938,11734,999.0,2302,2299698.0,1652332.4390211776,647365.5609788224
2021-06-17,False,1198.6227759244625,11644,999.0,2357,2354643.0,1679709.4149436883,674933.5850563117
2021-06-18,False,1338.573226139849,11743,999.0,2349,2346651.0,1675853.3478540063,670797.6521459937
2021-06-19,False,1147.010257161455,11703,999.0,2367,2364633.0,1684649.7613443993,679983.2386556007
2021-06-20,False,1490.3535473674133,11844,999.0,2384,2381616.0,1693494.7236244958,688121.2763755042
2021-06-21,False,1473.0244815429362,12012,999.0,2316,2313684.0,1659480.0061789304,654203.9938210696
2021-06-22,False,1256.7187754258662,11731,999.0,2404,2401596.0,1703263.0705394112,698332.9294605888
2021-06-23,False,1196.8714376504342,11906,999.0,2408,2405592.0,1705202.9082045201,700389.0917954799
2021-06-24,False,1200.159285141429,11696,999.0,2209,2206791.0,1605717.5285812002,601073.4714187998
2021-06-25,False,1293.357414080957,11719,999.0,2390,2387610.0,1696297.535758442,691312.464241558
2021-06-26,False,1115.9971207602869,11459,999.0,2314,2311686.0,1658116.2422530823,653569.7577469177
2021-06-27,False,1355.8820424300507,11555,999.0,2352,2349648.0,1677375.7789732052,672272.2210267948
2021-06-28,False,1263.3211633358978,11543,999.0,2332,2329668.0,1667267.0528464657,662400.9471535343
2021-06-29,False,1250.962629035555,11855,999.0,2320,2317680.0,1661252.372996351,656427.627003649
2021-06-30,False,1423.7459885956794,11620,999.0,2312,2309688.0,1657433.1641433397,652254.8358566603
2021-07-01,False,1383.614184073316,11800,999.0,2351,2348649.0,1676890.6425300357,671758.3574699643
